country,variety,price,points
US,"Cabernet Sauvignon",235.0,96
Spain,"Tinta de Toro",110.0,96
US,"Sauvignon Blanc",90.0,96
US,"Pinot Noir",65.0,96
France,"Provence red blend",66.0,95
Spain,"Tinta de Toro",73.0,95
Spain,"Tinta de Toro",65.0,95
Spain,"Tinta de Toro",110.0,95
US,"Pinot Noir",65.0,95
US,"Pinot Noir",60.0,95
Italy,Friulano,80.0,95
US,"Pinot Noir",48.0,95
US,"Pinot Noir",48.0,95
France,Tannat,90.0,95
US,"Pinot Noir",185.0,95
US,Chardonnay,90.0,95
US,"Cabernet Sauvignon",325.0,95
Spain,Tempranillo,80.0,95
France,Malbec,290.0,95
US,"Pinot Noir",75.0,95
US,"Rosé",24.0,95
Spain,"Tempranillo Blend",79.0,95
Spain,"Tinta de Toro",220.0,95
US,Chardonnay,60.0,95
US,"Pinot Noir",45.0,95
"New Zealand",Chardonnay,57.0,94
US,"Pinot Noir",62.0,94
US,"Pinot Noir",105.0,94
US,"Pinot Noir",60.0,94
US,Syrah,60.0,94
Bulgaria,Mavrud,15.0,90
US,Chardonnay,37.0,90
France,"Sparkling Blend",22.0,90
US,Chardonnay,42.0,90
Italy,Sangiovese,135.0,90
France,"Rhône-style White Blend",60.0,90
Italy,Sangiovese,29.0,90
Italy,Sangiovese,23.0,90
Italy,"Red Blend",29.0,90
Spain,"Mencía",17.0,90
Spain,Palomino,26.0,90
US,"Petite Sirah",55.0,90
Italy,"Red Blend",39.0,90
France,Syrah,69.0,90
Italy,"Red Blend",30.0,90
Italy,Sangiovese,90.0,90
US,"Cabernet Sauvignon",60.0,90
Italy,Sangiovese,50.0,90
US,"Cabernet Sauvignon",40.0,90
Italy,Sangiovese,100.0,90
France,Chardonnay,68.0,90
France,"Sauvignon Blanc",42.0,90
France,"Pinot Noir",28.0,90
US,Chardonnay,18.0,90
US,"Cabernet Sauvignon",69.0,90
US,Riesling,25.0,90
US,"Cabernet Sauvignon-Syrah",30.0,90
Italy,"Red Blend",60.0,90
Argentina,Malbec,30.0,91
Australia,"Pinot Noir",36.0,91
Argentina,Malbec,25.0,91
France,Chardonnay,45.0,91
Portugal,"Portuguese Red",23.0,91
US,Syrah,36.0,91
France,Chardonnay,38.0,91
US,"Cabernet Sauvignon",85.0,91
US,"Pinot Noir",50.0,91
US,"Cabernet Sauvignon",60.0,91
US,"Cabernet Sauvignon",85.0,91
US,"Pinot Noir",45.0,91
US,"Pinot Gris",19.0,91
Portugal,"Portuguese Red",15.0,91
US,"Pinot Noir",54.0,91
France,Chardonnay,85.0,91
US,"Sauvignon Blanc",38.0,91
US,"Cabernet Sauvignon",28.0,91
Italy,Nebbiolo,75.0,91
US,"Pinot Noir",42.0,91
Israel,"Cabernet Sauvignon",25.0,91
Italy,Nebbiolo,59.0,91
Italy,Nebbiolo,85.0,91
Italy,Nebbiolo,80.0,91
France,Chardonnay,45.0,91
US,"Cabernet Sauvignon",22.0,91
US,"Pinot Noir",65.0,91
US,Meritage,50.0,91
US,"Cabernet Sauvignon",10.0,86
Portugal,Baga,12.0,86
Italy,Glera,22.0,86
US,Chardonnay,13.0,86
Portugal,"Portuguese Red",10.0,86
France,Malbec-Merlot,14.0,86
US,Chardonnay,18.0,86
US,"Cabernet Sauvignon",36.0,86
France,Merlot-Malbec,15.0,86
France,"Ugni Blanc-Colombard",10.0,86
US,Viognier,24.0,86
US,"Cabernet Sauvignon",50.0,86
Italy,Sangiovese,45.0,86
US,"Cabernet Sauvignon-Cabernet Franc",48.0,86
US,Moscato,20.0,86
US,"Pinot Grigio",17.0,86
US,"Cabernet Franc",12.0,86
US,Chardonnay,10.0,86
US,"White Blend",13.0,86
US,Chardonnay,45.0,86
Portugal,"Portuguese Red",12.0,86
Argentina,"Rosé",12.0,86
US,"Cabernet Sauvignon",125.0,86
US,Riesling,25.0,86
"South Africa","Sauvignon Blanc",20.0,86
Argentina,Malbec,15.0,86
France,"Rosé",20.0,86
France,Gamay,15.0,86
Portugal,"Portuguese Red",7.0,86
US,"Pinot Noir",59.0,91
US,"Pinot Noir",49.0,91
US,"Sparkling Blend",42.0,91
US,Chardonnay,93.0,91
US,"Pinot Noir",32.0,91
US,"Pinot Noir",20.0,91
US,Zinfandel,100.0,90
US,"Cabernet Sauvignon",50.0,90
Spain,Tempranillo,22.0,90
Italy,"White Blend",45.0,90
Italy,Greco,18.0,90
US,Chardonnay,45.0,90
US,Barbera,26.0,90
US,Chardonnay,16.0,90
US,"Cabernet Sauvignon",30.0,90
US,Grenache,42.0,90
US,Zinfandel,38.0,90
US,"Rhône-style Red Blend",48.0,90
Spain,Tempranillo,17.0,90
France,"Rosé",18.0,90
France,"Rosé",15.0,90
US,"Sauvignon Blanc",28.0,90
US,Grenache,25.0,90
US,Chardonnay,26.0,90
US,"Albariño",24.0,90
US,"Pinot Noir",55.0,90
US,Zinfandel,36.0,90
Spain,"Albariño",17.0,90
US,Syrah,40.0,90
US,"Malvasia Bianca",28.0,90
US,"Pinot Noir",50.0,89
Greece,"White Blend",24.0,89
Spain,"Sparkling Blend",17.0,89
Greece,Assyrtiko,21.0,89
Greece,Malagouzia,18.0,89
Chile,"Carmenère",20.0,89
France,"Bordeaux-style Red Blend",20.0,89
US,Sangiovese,24.0,89
Spain,Tempranillo,44.0,89
Chile,"Red Blend",19.0,89
US,"Bordeaux-style Red Blend",42.0,89
US,"Pinot Noir",35.0,89
Spain,"Tempranillo Blend",44.0,89
US,Syrah,16.0,89
US,Viognier,23.0,89
US,"Pinot Noir",36.0,89
Italy,"Red Blend",25.0,89
Italy,"Red Blend",22.0,89
Portugal,"Touriga Nacional",20.0,89
US,Chardonnay,25.0,89
US,"Pinot Noir",42.0,89
Chile,"Cabernet Sauvignon-Cabernet Franc",30.0,89
Greece,Agiorgitiko,17.0,89
US,"Pinot Noir",49.0,89
France,"Rhône-style Red Blend",16.0,89
Spain,"Tinta de Toro",30.0,89
Italy,Sangiovese,40.0,89
Italy,"Red Blend",57.0,89
US,"Cabernet Sauvignon",29.0,89
Chile,"Red Blend",61.0,89
US,Chardonnay,25.0,88
US,Syrah,25.0,88
US,"Pinot Noir",49.0,88
US,Picpoul,20.0,88
Argentina,"Bordeaux-style Red Blend",26.0,88
US,"Bordeaux-style Red Blend",34.0,88
